ACCEPT	Kabul Et.
ATTACH_METIN_INFO	Ruh Taþý'ný eklemek istiyor musun?
ATTACH_METIN_TITLE	Ruh Taþý'ný ekle
CANCEL	iptal
CHANGE_PASSWORD_CONFIRM	Yeni þifreyi tekrarla
CHANGE_PASSWORD_NEW	Yeni þifre
CHANGE_PASSWORD_OLD	Eski þifre
CHANGE_PASSWORD_TITLE	Þifre Deðiþtir
CHARACTER_ACTION	Duygu
CHARACTER_EMOTICON	Duygu
CHARACTER_MAIN	Karakter
CHARACTER_MUTUAL_ACTION	Ortak Hareket
CHARACTER_NORMAL_ACTION	Normal Hareket
CHARACTER_QUEST	Görevler
CHARACTER_SKILL	Beceri
CLOSE	Kapat
COSTUME_TITLE	Kostümler
COSTUME_WINDOW_TITLE	Kostümler
CREATE_ATT_GRADE	STR
CREATE_CREATE	Oluþtur
CREATE_DEX_GRADE	DEX
CREATE_HP	HP
CREATE_LAST_POINT	Puan
CREATE_MAN	Erkek
CREATE_NAME	Isim
CREATE_NEXT	Sonraki
CREATE_PREV	Önceki
CREATE_SEX	Cinsiyet
CREATE_SHAPE	Biçim
CREATE_SP	Zeka
CREATE_STAT_RESET	Sýfýrla
CREATE_WOMAN	Kadýn
CUBE_INFO_TITLE	Arýndýrma Kýlavuzu
CUBE_REQUIRE_MATERIAL	Gerekli malzemeler:
CUBE_REQUIRE_MATERIAL_OR	veya
CUBE_TITLE	Arýndýrma Paneli
DO_REFINE	Arýndýr
DRAGONSOUL_ACTIVATE	Etkinleþtir
DRAGONSOUL_PAGE_BUTTON_1	Ýþlenmemiþ
DRAGONSOUL_PAGE_BUTTON_2	Yontulmuþ
DRAGONSOUL_PAGE_BUTTON_3	Ender
DRAGONSOUL_PAGE_BUTTON_4	Antika
DRAGONSOUL_PAGE_BUTTON_5	Efsanevi
DRAGONSOUL_REFINE_WINDOW_TITLE	Arýndýrma Paneli
DRAGONSOUL_TAP_TITLE_1	Ejderha Elmasý
DRAGONSOUL_TAP_TITLE_2	Ejderha Yakutu
DRAGONSOUL_TAP_TITLE_3	Ejderha Yeþimi
DRAGONSOUL_TAP_TITLE_4	Ejderha Safiri
DRAGONSOUL_TAP_TITLE_5	Ejderha Grenasý
DRAGONSOUL_TAP_TITLE_6	Ejderha Oniksi
DRAGONSOUL_TITLE	Ejderha Taþý Simyasý
EMPIRE_EXIT	Çýkýþ
EMPIRE_NEXT	Sonraki
EMPIRE_PREV	Önceki
EMPIRE_SELECT	Seçim
EXCHANGE_ACCEPT	Kabul
EXCHANGE_TITLE	Ticaret
GAMEOPTION_TITLE	Oyun Seçenekleri
GAME_EXIT_OBSERVER	Ýzlemeyi Bitir
GAME_HELP	Yardým
GAME_QUEST	Görevler
GAME_SKILL_UP	Becerileri Geliþtir
GAME_STAT_UP	Statü Geliþtir
GRADE	Sýnýf
GRADE_SELECT	Sýnýf
GUILD_BASENAME	Temel isim
GUILD_BOARD_ID	Isim
GUILD_BOARD_REFRESH	Yenile (F5)
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_CATEGORY_TITLE	Ýnþaat Birimleri
GUILD_BUILDING_CHANGE	Deðiþtir
GUILD_BUILDING_DIRECTION	Yön
GUILD_BUILDING_GRADE	Sýra
GUILD_BUILDING_INFO	Yapýlar ve masraf bilgileri
GUILD_BUILDING_LIST_TITLE	Bina Listesi
GUILD_BUILDING_LOG	dilb kök
GUILD_BUILDING_NAME	Bina ismi
GUILD_BUILDING_OPERATE	Yönet
GUILD_BUILDING_PLY	Kontrplak
GUILD_BUILDING_POSITION	Pozisyon
GUILD_BUILDING_PREVIEW	Önizleme
GUILD_BUILDING_PRICE	Fiyat
GUILD_BUILDING_REFRESH	Yenile (F5)
GUILD_BUILDING_STONE	Taþ
GUILD_BUILDING_TITLE	Lonca Meclis Binalarý
GUILD_CRYSTAL	Kristal
GUILD_DEPOSIT	Depozit
GUILD_DROP_RESOURCE1	Burada
GUILD_DROP_RESOURCE2	Düþen Kaynak
GUILD_GEM	Deðerli Taþ
GUILD_GRADE_CHANGE_GRADE_NAME	Yeni rütbe ismi
GUILD_GRADE_NUM	No.
GUILD_GRADE_PERMISSION_DELETE	Kov
